,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
5155,57209001,28039.0,Fermata 28039 - Torino (C.so Marche-Stab.Abarth),,45.07599,7.61461,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=28039&stoppingPointCtl:action:getTransits,0
5156,57236001,10903.0,Fermata 10903 - Crescentino (stazione),,45.19367,8.10719,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=10903&stoppingPointCtl:action:getTransits,0
5157,57241001,10936.0,Fermata 10936 - Verrua Savoia (fraz. Campasso),,45.13797,8.1232,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=10936&stoppingPointCtl:action:getTransits,0
5158,57274003,18228.0,Fermata 18228 - Fossano (Rotonda fontana),,44.55297,7.72646,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=18228&stoppingPointCtl:action:getTransits,0
5159,57296004,28246.0,Fermata 28246 - Bra (v. Cuneo/bv. v. Cherasco),,44.69081,7.85474,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=28246&stoppingPointCtl:action:getTransits,0
5160,57442001,27346.0,Fermata 27346 - S.Anna Robella bivio,,45.07488,8.08514,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=27346&stoppingPointCtl:action:getTransits,0
5161,57806001,2500.0,Fermata 2500 - COTTOLENGO,VIA CIRCONVALAZIONE INTERNA FRONTE N.25,45.01089,7.53402,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=2500&stoppingPointCtl:action:getTransits,0
5162,57809001,30523.0,Fermata 30523 - Brusasco,,45.15433,8.05689,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=30523&stoppingPointCtl:action:getTransits,0
5163,57821001,14840.0,Fermata 14840 - Alfiano Natta (P.za Vitt.Emanuele III),,45.04962,8.20613,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=14840&stoppingPointCtl:action:getTransits,0
5164,57825001,6149.0,Fermata 6149 - 1? MAGGIO,VIA SELLA PRIMA DI VIA I. MAGGIO,45.00186,7.82388,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=6149&stoppingPointCtl:action:getTransits,0
5165,57836001,2986.0,Fermata 2986 - MOLINETTI,C.IV NOVEMBRE / V.MOLINETTI RIVOLI,45.05978,7.53983,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=2986&stoppingPointCtl:action:getTransits,0
5166,57846001,1483.0,Fermata 1483 - MAINERO N.126,STR DEL MAINERO N.126,45.04193,7.72247,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1483&stoppingPointCtl:action:getTransits,0
5167,57879001,1077.0,Fermata 1077 - BISCARETTI,C.UNIONE SOVIETICA / V.BARBERA,45.01997,7.63253,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1077&stoppingPointCtl:action:getTransits,0
5168,52193004,350.0,Fermata 350 - MASSARI CAP.,V.MASSARI / V DELLA CELLA,45.10661,7.67982,2.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=350&stoppingPointCtl:action:getTransits,0
